t,T_air,C_air,dT_dt,dC_dt,RH_percent(kg/kg dry air),RH_percent(kg/m3)
3660,47.498,0.04312,0.001341666666666678,5.0833333333333284e-06,60.292969725991554,58.56664027259843
3720,47.646,0.04333,0.0028500000000000487,4.750000000000009e-06,60.116488657985705,58.44061125418363
3780,47.84,0.04369,0.0018916666666666396,3.333333333333313e-06,59.99325682570731,58.38765963241104
3840,47.873,0.04373,0.0007166666666666543,1.6666666666666565e-06,59.94479653690062,58.35000001821203
3900,47.926,0.04389,0.0011916666666666722,3.916666666666709e-06,59.98926609298934,58.416963479623185
3960,48.016,0.0442,0.0004249999999999569,2.7500000000000325e-06,60.11181405389068,58.57996641856707
4020,47.977,0.04422,-0.0007499999999999692,1.249999999999978e-06,60.25540734374927,58.71453258780066
4080,47.926,0.04435,0.001850000000000011,3.833333333333293e-06,60.576152137084016,59.02921691322144
4140,48.199,0.04468,0.0019999999999999575,4.000000000000011e-06,60.164410833588086,58.70689898060988
4200,48.166,0.04483,0.0011000000000000417,1.9166666666666753e-06,60.453041134053805,58.99575020929454
4260,48.331,0.04491,0.00374166666666671,2.5833333333333147e-06,60.0535920218099,58.643059799867096
4320,48.615,0.04514,0.0004083333333333291,3.250000000000012e-06,59.48656241201681,58.1607165268329
4380,48.38,0.0453,-0.002150000000000022,2.416666666666655e-06,60.39090704622804,59.01593211563027
4440,48.357,0.04543,0.0012166666666666734,2.5833333333333147e-06,60.62239241236779,59.24944970445161
4500,48.526,0.04561,0.0019416666666667007,3.8333333333333506e-06,60.33226965580906,59.01280382774638
4560,48.59,0.04589,0.0024916666666666624,2.0000000000000342e-06,60.48277504205854,59.196605054622545
4620,48.825,0.04585,0.0019749999999999564,3.333333333333313e-06,59.72641554959023,58.495522785070854
4680,48.827,0.04629,0.0013583333333333058,4.66666666666665e-06,60.253847727409706,59.0513309627435
4740,48.988,0.04641,0.0012666666666666753,3.3333333333337756e-07,59.91471839021317,58.75888039762373
4800,48.979,0.04633,-0.0007333333333333414,-1.6666666666665987e-07,59.845521184831476,58.68235401612561
4860,48.9,0.04639,0.001374999999999993,2.249999999999995e-06,60.1548432086334,58.976492363422615
4920,49.144,0.0466,-0.0002500000000000095,4.000000000000011e-06,59.675929538209715,58.56968363976275
4980,48.87,0.04687,-0.002533333333333291,2.416666666666655e-06,60.82487861206548,59.67066900519889
5040,48.84,0.04689,0.00035833333333332715,1.6666666666666565e-06,60.94043187704253,59.78024738925508
5100,48.913,0.04707,0.003508333333333328,1.3333333333333368e-06,60.93494008054236,59.80450122365531
5160,49.261,0.04705,0.002133333333333335,1.083333333333318e-06,59.861035138852884,58.81224275266384
5220,49.169,0.0472,-0.0017083333333333783,6.666666666666395e-07,60.314753213144954,59.25438396948406
5280,49.056,0.04713,0.0007333333333333414,2.0000000000000342e-06,60.57253521353046,59.48054909757656
5340,49.257,0.04744,0.000500000000000019,1.2500000000000359e-06,60.33410491504881,59.3108418123058
5400,49.116,0.04728,0.0013166666666666771,1.3333333333333368e-06,60.569864356133365,59.50233789729181
5460,49.415,0.0476,0.001708333333333319,4.083333333333312e-06,60.04809977645154,59.072730965991184
5520,49.321,0.04777,-0.0008166666666666581,-7.500000000000561e-07,60.53029319479076,59.544852775689776
5580,49.317,0.04751,-0.00014166666666663255,4.166666666666786e-07,60.23623724425251,59.23184675679094
5640,49.304,0.04782,0.0014583333333333095,1.166666666666677e-06,60.64052450847868,59.65459774511119
5700,49.492,0.04765,0.0006666666666666524,1.6666666666666565e-06,59.87650631573663,58.9223852593272
5760,49.384,0.04802,-0.0018333333333333238,1.166666666666677e-06,60.63358838389787,59.68038735898168
5820,49.272,0.04779,-0.0006166666666666506,2.083333333333335e-06,60.70202467911591,59.706497684621716
5880,49.31,0.04827,0.003975000000000032,1.3333333333333368e-06,61.15176913925035,60.19906557221893
5940,49.749,0.04795,0.003608333333333332,1.166666666666677e-06,59.46104384133522,58.58638664566375
6000,49.743,0.04841,-0.0007416666666667145,3.7499999999999916e-06,60.00818398798491,59.164975734272105
6060,49.66,0.0484,-0.0023333333333333426,-4.166666666666786e-07,60.24489833157657,59.38220968598297
6120,49.463,0.04836,0.0014166666666666809,9.166666666666583e-07,60.79209307151187,59.88142757059006
6180,49.83,0.04851,0.0024166666666666594,1.8333333333333166e-06,59.86370395276281,59.047235161337404
6240,49.753,0.04858,-0.0007583333333333423,1.6666666666667143e-06,60.17371737283996,59.34506519167063
6300,49.739,0.04871,-0.0010916666666666685,-1.3333333333333368e-06,60.36505772827265,59.54273025028198
6360,49.622,0.04842,-0.0015750000000000004,-5.833333333333385e-07,60.38207068050837,59.512186968390644
6420,49.55,0.04864,-0.0012083333333333594,2.5000000000001873e-07,60.85425745821161,59.98386961230722
6480,49.477,0.04845,0.0028416666666666755,9.166666666666583e-07,60.85459089482585,59.95363850979958
6540,49.891,0.04875,0.0017166666666666923,1.083333333333318e-06,59.95635425832481,59.17096298315536
6600,49.683,0.04858,-0.0026833333333332967,5.833333333333385e-07,60.38358076428526,59.53912866312226
6660,49.569,0.04882,-0.000416666666666643,2.333333333333354e-06,61.00532719388855,60.15245974267924
6720,49.633,0.04886,0.001766666666666635,2.499999999999609e-07,60.857483216398805,60.02216169620853
6780,49.781,0.04885,-0.00034166666666669935,4.999999999999796e-07,60.399657087905595,59.597045111967645
6840,49.592,0.04892,0.001333333333333364,1.9166666666666753e-06,61.051228477922855,60.210983965274906
6900,49.941,0.04908,0.0025833333333333524,1.7500000000000154e-06,60.18288919769686,59.43294932222079
6960,49.902,0.04913,-0.0004083333333333291,-4.999999999999796e-07,60.35650539434409,59.60164769066048
7020,49.892,0.04902,-0.0011916666666666722,-1.6666666666665987e-07,60.26116823793711,59.495907704938
7080,49.759,0.04911,-0.00022500000000000853,2.333333333333296e-06,60.76403215647507,59.975729302279305
7140,49.865,0.0493,0.0007749999999999702,-1.4166666666666957e-06,60.66141310474638,59.91105308149854
7200,49.852,0.04894,0.00023333333333332243,-2.7499999999999745e-06,60.28969079163822,59.509601936632194
7260,49.893,0.04897,-0.0019416666666666415,3.3333333333337756e-07,60.201197779151876,59.432453959723226
7320,49.619,0.04898,-0.0008416666666666591,2.6666666666666736e-06,61.03855305672608,60.208903056145076
7380,49.792,0.04929,-5.833333333331581e-05,1.8333333333333166e-06,60.870445639495706,60.1030183260086
7440,49.612,0.0492,0.00044166666666664394,1.0000000000000171e-06,61.31397765268973,60.49910221577012
7500,49.845,0.04941,0.0013166666666666771,1.4999999999999966e-06,60.84724046591313,60.1007075290857
7560,49.77,0.04938,-0.001349999999999992,-1.4166666666666957e-06,61.04014007761104,60.27454741766842
7620,49.683,0.04924,-0.0008416666666667183,1.3333333333333368e-06,61.14376322350493,60.34801760749569
7680,49.669,0.04954,0.0019416666666666415,2.166666666666694e-06,61.53164975539178,60.75536390333882
7740,49.916,0.0495,0.0003750000000000142,-2.166666666666694e-06,60.73529717998409,60.01136778395319
7800,49.714,0.04928,0.0014916666666666837,-1.2500000000000359e-06,61.095502122470535,60.309768647525814
7860,50.095,0.04935,0.001791666666666695,5.000000000000375e-07,60.0290600312646,59.333155381776955
7920,49.929,0.04934,-0.0023166666666666557,-4.999999999999796e-07,60.514326180400886,59.78118905946303
7980,49.817,0.04929,0.00011666666666663162,-3.3333333333337756e-07,60.79485179359949,60.033024527157906
8040,49.943,0.0493,-0.001274999999999989,3.499999999999973e-06,60.426844339119185,59.69379691874915
8100,49.664,0.04971,0.0016000000000000014,1.5000000000000545e-06,61.742531730730555,60.97807380577328
8160,50.135,0.04948,0.0019833333333333296,-1.999999999999976e-06,60.05627601567394,59.37889726033857
8220,49.902,0.04947,-0.0006583333333333386,1.4999999999999966e-06,60.743424352818685,60.01411584076885
8280,50.056,0.04966,-0.0016000000000000014,1.0000000000000171e-06,60.495196782379686,59.81428094642572
8340,49.71,0.04959,-0.0011749999999999853,1.1666666666666191e-06,61.46367725664271,60.70047589130522
8400,49.915,0.0498,0.0017500000000000072,1.166666666666677e-06,61.07913701810262,60.377884881367244
8460,49.92,0.04973,0.0019333333333333277,-1.6666666666666565e-06,60.98449255095026,60.27897845337017
8520,50.147,0.0496,0.000391666666666642,-1.4166666666666957e-06,60.15536265081685,59.48970349798138
8580,49.967,0.04956,-0.0018833333333333258,2.333333333333354e-06,60.649689392662104,59.94159601656279
8640,49.921,0.04988,-0.0012166666666666734,1.6666666666666565e-06,61.151746035601406,60.45798161390675
8700,49.821,0.04976,-0.0005416666666666477,8.333333333330103e-08,61.31942243581918,60.594166638675944
8760,49.856,0.04989,0.0011000000000000417,-2.249999999999995e-06,61.3609089526946,60.65346891611722
8820,49.953,0.04949,0.0004916666666666458,-2.499999999999609e-07,60.61245785706462,59.895959710406274
8880,49.915,0.04986,-0.0020416666666667046,2.333333333333354e-06,61.14726513720887,60.45062932098336
8940,49.708,0.04977,0.0020666666666666464,-4.166666666666786e-07,61.6763822281916,60.926487545174346
9000,50.163,0.04981,0.00408333333333335,2.249999999999995e-06,60.343278148336005,59.69715357019015
9060,50.198,0.05004,-0.0028583333333333035,2.333333333333354e-06,60.496111134717424,59.875320758748416
9120,49.82,0.05009,-0.0014249999999999948,-2.333333333333354e-06,61.69884112212129,60.99885975860597
9180,50.027,0.04976,-0.00013333333333331865,-9.166666666667161e-07,60.69527343449269,60.01565503778477
9240,49.804,0.04998,0.0004916666666666458,3.333333333333371e-06,61.62241127644103,60.91030813273546
9300,50.086,0.05016,0.0007249999999999683,-6.666666666666395e-07,60.96802603705213,60.332262926619414
9360,49.891,0.0499,-5.000000000000189e-05,-1.5000000000000545e-06,61.26566937163851,60.5667908278862
9420,50.08,0.04998,0.001850000000000011,5.833333333333385e-07,60.78360339337892,60.1325394807055
9480,50.113,0.04997,0.00045000000000001706,-6.666666666666395e-07,60.672948226629295,60.02830426707848
9540,50.134,0.0499,-0.002574999999999979,1.999999999999976e-06,60.531192654666604,59.885706293779776
9600,49.804,0.05021,0.0006166666666666506,1.999999999999976e-06,61.88480635682206,61.19060766996093
9660,50.208,0.05014,0.0005083333333333329,-3.333333333333313e-06,60.577954472776604,59.96710030062427
9720,49.865,0.04981,-0.0036583333333333337,9.166666666667161e-07,61.242417878024625,60.53082259613473
9780,49.769,0.05025,0.001349999999999992,3.166666666666653e-06,62.038270684351865,61.339352340260106
9840,50.027,0.05019,0.001383333333333366,-3.0000000000000513e-06,61.18060807902832,60.534279066447304
9900,49.935,0.04989,0.0011499999999999844,-1.6666666666665987e-07,61.12058491469045,60.43069198717966
9960,50.165,0.05017,0.00182500000000001,-7.499999999999983e-07,60.74083153088217,60.1230224899005
10020,50.154,0.0498,-0.002133333333333335,6.666666666666973e-07,60.35898988572937,59.710146055536434
10080,49.909,0.05025,0.0005999999999999635,2.333333333333354e-06,61.60815859043877,60.940494868673255
10140,50.226,0.05008,-0.00011666666666663162,-1.4166666666666957e-06,60.456907611577584,59.84526280691972
10200,49.895,0.05008,-0.0018166666666666368,-2.333333333333354e-06,61.45798718023197,60.773943910530264
10260,50.008,0.0498,-0.00014166666666669178,1.0000000000000171e-06,60.797751966381654,60.11703119840716
10320,49.878,0.0502,0.0017500000000000072,-3.3333333333331975e-07,61.6462922319271,60.96782896925871
10380,50.218,0.04976,-0.00038333333333332814,-2.7500000000000325e-06,60.1230494243088,59.48497364103046
10440,49.832,0.04987,-0.003716666666666709,5.000000000000375e-07,61.41133262622518,60.6969940601429
10500,49.772,0.04982,0.0011333333333333566,2.249999999999995e-06,61.53758461254994,60.80595322206091
10560,49.968,0.05014,0.003950000000000032,2.499999999999609e-07,61.30348011652811,60.6402685805328
10620,50.246,0.04985,0.0018999999999999536,5.833333333333385e-07,60.14021761442098,59.51508437247109
10680,50.196,0.05021,-0.0010166666666666657,1.9166666666666753e-06,60.69229875931192,60.08431877967525
10740,50.124,0.05008,-8.333333333313911e-06,-3.666666666666633e-06,60.7633978038503,60.12968000049375
10800,50.195,0.04977,0.0006083333333333367,-2.7499999999999745e-06,60.20282869893551,59.56055628702532
10860,50.197,0.04975,-0.0015499999999999995,8.333333333330103e-08,60.17446214488474,59.5310881718416
10920,50.009,0.04978,-0.0024083333333333456,2.499999999999956e-06,60.77212805564662,60.09009115544445
10980,49.908,0.05005,0.0010583333333333536,3.0833333333333522e-06,61.3842622668783,60.700772655768745
11040,50.136,0.05015,0.0014416666666666818,-1.4999999999999966e-06,60.805797301100675,60.180138251471966
11100,50.081,0.04987,-0.0016583333333333764,1.6666666666665987e-07,60.656746468662696,59.99740408712688
11160,49.937,0.05017,-0.002366666666666717,-7.499999999999983e-07,61.4319097863116,60.76419080857409
11220,49.797,0.04978,0.0015499999999999995,-1.6666666666665987e-07,61.41546154450993,60.68636676817673
11280,50.123,0.05015,0.0007000000000000266,3.5833333333333318e-06,60.8450111938019,60.21652712552805
11340,49.881,0.05021,0.0007916666666667164,-8.333333333335886e-08,61.64846639353233,60.97145246798468
11400,50.218,0.05014,-9.166666666668988e-05,-9.166666666666583e-07,60.54793781774688,59.939239918835746
11460,49.87,0.0501,-0.0033916666666666965,2.5000000000001873e-07,61.557105992279325,60.86906001855657
11520,49.811,0.05017,0.0024666666666666613,-2.7499999999999745e-06,61.8176730316542,61.12191499249879
11580,50.166,0.04977,0.00013333333333331865,-2.6666666666666736e-06,60.28944151866137,59.640895558252204
11640,49.827,0.04985,-0.0027166666666666116,3.3333333333331975e-07,61.403787574188534,60.686790695785426
11700,49.84,0.04981,0.001858333333333325,1.2500000000000359e-06,61.31854236874641,60.601371918116584
11760,50.05,0.05,0.0028916666666666184,2.5833333333333147e-06,60.896690359366005,60.240616552747014
11820,50.187,0.05012,-0.0016833333333333182,5.833333333333385e-07,60.61865986973805,60.00171269706602
11880,49.848,0.05007,-0.0023499999999999706,5.000000000000375e-07,61.59027994613641,60.89499707397638
11940,49.905,0.05018,0.0024250000000000326,-2.0000000000000342e-06,61.540968905580655,60.86694100716147
12000,50.139,0.04983,0.0027583333333332997,-5.000000000000375e-07,60.43759001765619,59.78779711228127
12060,50.236,0.05012,-0.0011583333333333575,1.6666666666665987e-07,60.47162001336462,59.86524022430083
12120,50.0,0.04985,-0.003449999999999953,-1.9166666666666753e-06,60.878433997228306,60.19979981267534
12180,49.822,0.04989,-0.0020250000000000177,2.083333333333335e-06,61.464671687040024,60.74964009944472
12240,49.757,0.0501,0.00035833333333332715,2.9166666666666924e-06,61.9038100506054,61.19047548092186
12300,49.865,0.05024,0.000491666666666705,-3.3333333333331975e-07,61.731599661986394,61.05337336337701
12360,49.816,0.05006,0.0018666666666666387,-3.8333333333333506e-06,61.676901334586816,60.97369187865007
12420,50.089,0.04978,-4.1666666666687983e-05,0.0,60.531364083847095,59.866845981583275
12480,49.811,0.05006,-0.0007166666666666543,-8.333333333330103e-08,61.69223085698879,60.98790242225412
12540,50.003,0.04977,0.0023833333333333445,1.083333333333318e-06,60.778922381007256,60.09479885491112
12600,50.097,0.05019,0.0003166666666666392,2.7499999999999745e-06,60.96849046653952,60.33746856334253
12660,50.041,0.0501,-0.0020583333333333326,-2.9166666666666344e-06,61.03665742468514,60.386379058548684
12720,49.85,0.04984,0.0009250000000000351,-2.5000000000000138e-06,61.322254351303144,60.6096232922821
12780,50.152,0.0498,0.002149999999999963,0.0,60.36497583411807,59.7156982452467
12840,50.108,0.04984,-0.0002750000000000104,3.6666666666666907e-06,60.54182553912884,59.88606041677835
12900,50.119,0.05024,-0.0024333333333332874,1.1666666666666191e-06,60.95813570896216,60.335814481389974
12960,49.816,0.04998,-0.0025583333333333512,-8.333333333333572e-07,61.585667542706084,60.87625090081762
13020,49.812,0.05014,0.0033166666666666345,7.500000000000561e-07,61.78039481419459,61.08251915192252
13080,50.214,0.05007,0.0011416666666666704,-8.333333333332993e-07,60.48169411691284,59.86668608699961
13140,49.949,0.05004,-0.0026166666666666673,-2.083333333333335e-06,61.24807274523189,60.572884798960466
13200,49.9,0.04982,0.0003750000000000142,1.4999999999999966e-06,61.14738855095454,60.44434574140003
13260,49.994,0.05022,0.0015083333333333708,6.666666666666395e-07,61.314791580559614,60.66355753784074
13320,50.081,0.0499,0.0019500000000000147,-1.4999999999999966e-06,60.69052546503422,60.033496369513365
13380,50.228,0.05004,-0.0015666666666666865,1.6666666666666565e-06,60.40622738320107,59.79190629987861
13440,49.893,0.0501,-0.00013333333333331865,2.5000000000001873e-07,61.48680990770425,60.80387877031109
13500,50.212,0.05007,-0.0010916666666666685,1.0000000000000171e-06,60.487689691045865,59.87225038415954
13560,49.762,0.05022,-0.0015333333333333718,-2.083333333333335e-06,62.02558346933763,61.322741934640135
13620,50.028,0.04982,0.0025416666666666643,-1.8333333333333166e-06,60.7600163854863,60.085225140564994
13680,50.067,0.05,-0.0018750000000000119,1.083333333333318e-06,60.84534643495817,60.192991710144504
13740,49.803,0.04995,-0.0020583333333333326,-8.333333333335886e-08,61.591233994315246,60.87658471738595
13800,49.82,0.04999,0.0013083333333333631,-1.166666666666677e-06,61.58482833838203,60.87708124042148
13860,49.96,0.04981,0.0034416666666666393,-1.416666666666638e-06,60.954127786196594,60.263600793568486
13920,50.233,0.04982,0.0007333333333333414,6.666666666666395e-07,60.14544175412515,59.51520395007812
13980,50.048,0.04989,-0.00013333333333331865,6.666666666666395e-07,60.778696953605625,60.11368065356541
14040,50.217,0.0499,0.00086666666666666,5.833333333333385e-07,60.282630771474466,59.655106932570355
14100,50.152,0.04996,-0.0019416666666666415,1.3333333333333368e-06,60.5444998829,59.90755591029168
14160,49.984,0.05006,-8.333333333331676e-05,9.166666666667161e-07,61.164349961371165,60.498437993069686
14220,50.142,0.05007,-0.0018750000000000119,-8.333333333333572e-07,60.69796323132723,60.067378530458804
14280,49.759,0.04996,-0.002808333333333361,-1.0000000000000171e-06,61.73754691481397,61.013794256605046
14340,49.805,0.04995,0.0033833333333333233,-8.333333333332993e-07,61.58511135591162,60.87091008274885
14400,50.165,0.04986,0.005999999999999991,-1.4999999999999966e-06,60.39336744288713,59.75152284924136
